Ind,mean_GWC,K,SO4,B,Zn,Mn,Cu,Fe,Ca,Mg,Na,Bases,CEC,TKN,S,N,NO3,NH4,P_Bicarb,pH,Resp_24,Sand,Silt,Clay,SoilTemp_C,VolWaterCont,C_Percent,WEOC,WETN,salt_C,salt_N,MBC,MBN,ROI.volume.xyz,Voxel.size,Conn_Pores,PSD_0.1,PSD_0.2,PSD_0.3,PSD_0.4,PSD_0.5,PSD_0.75,PSD_1,PSD_5,PSD_10,PSD_25,PSD_50,PSD_over50,pore size,porevolume,pore vol fraction,wet bulk density,perm_x,flowRate_x,tort_x,perm_y,flowRate_y,tort_y,perm_z,flowRate_z,tort_z,sum_amino,sum_carbs,sum_condHC,sum_lignin,sum_protein,sum_tanin,sum_unsatHC,sum_lipid,ID,NLCD.Land.Cover.Class.x,landcover,organicIndex_unweighted,organicIndex_weighted
64,1.101,245,2,0.18,0.01,2.6,0.1,25,1.81,0.25,0.08,2.77,10.74,0.101,80.29,0.101,0.0003,1.80E-03,0.0136,6.5,9.9,65.1,21.9,13.1,25.7,0.042,0.935,0.008,0.003,0.084885043,0.007826961,0.086618458,0.010169962,NA,0.381,74.18,925177,102408,14343,3937,1423,983,207,95,0,1,0,0,0.068911,0.002722,5.76,2.07,142.12,2049.546,1.44,103.7906,1811.257,1.65,7.6593,77.30556,1.86,4.936347103,2.130423487,7.794232268,45.67420109,15.48454144,10.05455963,4.598597038,5.378020265,40,NA,6,0,0
65,1.147,322,5,0.31,0.9,10,0.2,39,4.1,0.75,0.1,5.78,3.46,0.229,164.02,0.229,0.0004,3.00E-03,0.019,5.93,226.4,61.1,27.9,11.1,25.7,0.042,4.303,0.084,0.033,0.16597896,0.014867051,0.344316852,0.035953753,NA,0.381,81.95,928827,101960,12265,3194,1158,850,200,119,0,0,1,0,0.06876,0.00379,7.84,2.04,15753.82,227622.6,1.42,405.3632,7057.879,1.63,66.3114,667.5621,1.92,2.990033223,1.100498339,19.71553156,44.8089701,11.61752492,9.250415282,4.215116279,3.187292359,41,NA,6,0,0
68,1.032,205,8,0.25,0.3,6.1,0.6,21,3.95,1.26,0.15,5.89,6.31,0.072,87.48,0.072,0.0008,1.20E-03,0.0038,6.89,18.4,65,14,21,37.8,0.025,0.303,0.029,0.002,0.048572012,0.003884205,0.034346724,0.004523831,NA,0.0381,97.77,968296,70273,7888,1521,398,173,20,4,0,0,1,0,0.062556,0.014035,20.81,2.32,1012.049,14635.61,1.62,1339.006,23338.36,1.63,1392.305,14083.9952,1.64,5.364327224,2.637460885,10.12516764,42.51229325,17.7246312,7.934734019,4.403218596,5.744300402,42,NA,8,0,0
69,1.002,122,6,0.16,1.3,20.3,0.9,14,1.55,0.51,0.08,2.45,2.87,0.065,107.77,0.065,0.0009,8.00E-04,2.70E-03,7.75,47.8,73,12,15.1,37.8,0.025,0.339,0.03,0.002,0.04253485,0.005030229,0.040761493,0.005676429,NA,0.0381,86.75,923565,109589,12147,2251,656,294,51,20,0,0,1,0,0.066987,0.002832,9.2,2.47,70.83463,1014.751,1.66,320.8964,5578.349,1.65,188.4289,1890.419,1.65,4.476205434,2.167425789,16.78969687,40.96120622,15.21909848,9.203706612,3.188314748,4.884561018,43,NA,8,0,0
74,1.313,194,16,0.36,0.7,10.4,1.3,91,10.58,3.3,0.32,14.7,37.74,0.184,169.94,0.184,0.0011,0.0028,0.0018,5.54,27.3,16.8,42.2,41.1,25.9,0.335,2.126,0.136,0.01,0.097995,0.009685599,0.066847217,0.008370299,NA,0.0381,65.29,925042,85824,22670,8216,3429,2512,569,311,0,1,0,0,0.071539,0.0045,6.16,2.28,16.95299,244.3771,1.81,4.8739,85.09142,1.85,2.108614,21.37867,1.75,2.448747153,1.566059226,30.56188307,40.0531511,7.925208808,9.671602126,3.350417616,1.926727411,44,NA,3,0,0
75,1.296,382,12,0.95,4.8,14.8,0.7,50,18.83,2.42,0.13,22.36,24.16,0.413,297.39,0.413,0.0044,0.004,0.0036,6.94,185.7,16.9,50.1,33.1,25.9,0.335,4.576,0.2,0.032,0.066543459,0.015520521,0.155282626,0.029376068,NA,0.0381,95.44,929601,89524,19231,6205,2326,1464,189,33,0,0,1,0,0.068076,0.016966,17.85,2.2,1492.826,21519.21,1.74,1205.0146,21078.5,1.74,890.7897,9066.92,1.71,3.382084095,1.54250457,26.42824497,39.8308958,11.70018282,10.44332724,3.66773309,2.159506399,45,NA,3,0,0
76,1.292,47,6,0.24,20.6,25.6,5.8,34,10.26,3.32,0.06,13.76,12.64,0.18,173.89,0.18,0.0005,3.80E-03,0.0144,7.35,131.62,54.04,25.98,19.98,12.8,0.388,2.536,0.149,0.013,0.626452479,0.013388567,0.209358792,0.025222932,NA,0.0381,74.25,1001224,41889,3591,1081,396,294,72,26,0,1,0,0,0.064172,0.001158,6.78,2.52,94.6804,1364.042,1.79,265.5582,4632.695,1.61,167.4985,1696.845,1.79,3.739423164,2.301883359,24.11063597,39.82349195,11.55490856,10.61777818,4.258029297,3.029751615,46,NA,3,0,0
77,1.303,49,4,0.23,0.01,0.7,1,7,10.79,3.53,0.07,14.52,12.8,0.188,129.85,0.188,0.0004,2.30E-03,0.0087,7.58,114.1,60.02,23.99,15.99,12.8,0.388,2.513,0.082,0.009,0.342657099,0.009045334,0.187065143,0.032860941,NA,0.0381,93.06,971314,60894,10365,3260,1333,1011,239,156,1,0,1,0,0.062466,0.011653,15.71,2.47,1735.659,25045.55,1.69,4225.399,73817.88,1.57,298.1594,3021.759,1.92,5.447967653,2.021706746,17.62077038,41.56203448,15.662907,11.74718025,3.064481805,2.596297084,47,NA,3,0,0
78,1.353,137,13,0.63,24.1,28.5,9.5,88,9.94,3.52,2.71,16.52,13.46,0.131,157.38,0.131,0.0016,0.0007,1.51E-02,7.51,42.6,30.08,43.18,26.73,13.9,0.422,1.348,0.121,0.016,0.052835121,0.007131955,0.067500853,0.005974194,NA,0.0381,93.42,994431,44681,5793,1931,813,611,171,141,1,0,1,0,0.060882,0.012116,11.9,2.33,53349.84,766793.9,1.45,74469.01,1301915,1.41,1.05319,10.65677,1.62,2.178156786,0.986335148,27.43244632,43.4706668,8.527689304,11.38395151,3.45217302,2.219254084,48,NA,5,0,0
79,1.481,117,6,0.84,0.6,5.6,0.7,4,13.88,3.31,5.81,23.3,21.94,0.356,460.22,0.356,0.0021,0.0012,0.0197,7.68,88.49,40.34,39.09,20.57,13.9,0.422,5.589,0.129,0.019,0.050331091,0.009019577,0.213558009,0.038281967,NA,0.0381,78.86,836378,38427,8228,3503,1579,1419,437,310,0,1,0,0,0.62779,0.007132,4.61,2.44,16.0629,230.9443,1.63,3932.157,68721.57,1.51,0.17115,1.71,1.64,2.125874126,0.979020979,29.42657343,39.35664336,7.748251748,16.05594406,2.713286713,1.286713287,49,NA,5,0,0
