Ind,mean_GWC,K,SO4,B,Zn,Mn,Cu,Fe,Ca,Mg,Na,Bases,CEC,TKN,S,N,NO3,NH4,P_Bicarb,pH,Resp_24,Sand,Silt,Clay,SoilTemp_C,VolWaterCont,C_Percent,WEOC,WETN,salt_C,salt_N,MBC,MBN,ROI.volume.xyz,Voxel.size,Conn_Pores,PSD_0.1,PSD_0.2,PSD_0.3,PSD_0.4,PSD_0.5,PSD_0.75,PSD_1,PSD_5,PSD_10,PSD_25,PSD_50,PSD_over50,pore size,porevolume,pore vol fraction,wet bulk density,perm_x,flowRate_x,tort_x,perm_y,flowRate_y,tort_y,perm_z,flowRate_z,tort_z,sum_amino,sum_carbs,sum_condHC,sum_lignin,sum_protein,sum_tanin,sum_unsatHC,sum_lipid,ID,NLCD.Land.Cover.Class.x,landcover,organicIndex_unweighted,organicIndex_weighted
25,1.548,76,18,0.66,2.8,2.2,0.4,299,0.69,0.37,0.09,1.34,8.55,0.413,243.13,0.413,0.0011,0.0057,0.0076,3.89,31.3,66.8,18.2,15.1,16.2,0.452,7.272,0.098,0.006,0.061658516,0.016042248,0.328958386,0.08456184,NA,0.0381,62.66,981623,55649,6907,2387,980,769,169,89,0,1,0,0,0.064348,0.002085,4.48,2.2,286.2818,4165.752,1.5,2976.069,51560.18,1.26,0.30463,3.05096,1.94,3.611039464,1.31545009,21.33092597,42.66185195,11.14263606,11.14263606,3.507866907,2.398761929,17,NA,3,0,0
26,1.258,78,5,0.21,4.1,10.4,2.2,51,6.83,1.53,0.1,8.66,8.84,0.089,121.3,0.089,0.0014,0.0008,8.40E-03,7.12,45.82,58.1,23.94,17.96,13,0.3155,1.103,0.078,0.009,0.041032496,0.003314214,0.051110854,0.005300408,NA,0.0381,89.06,1003966,41578,2282,431,143,124,22,26,1,0,1,0,0.060223,0.002673,10.22,2.48,11.761,169.914,1.63,751.037,12886.47,1.6,601.667,6016.319,1.64,1.36741006,0.244180368,33.43643171,39.88279342,5.274295947,15.41592056,1.986000326,1.937164252,18,NA,3,0,0
27,1.32,48,6,0.23,14,18.3,3.7,36,4.89,1.03,0.05,6.09,8.43,0.196,178.39,0.196,0.0027,0.0008,1.17E-02,7.15,117.12,78.02,11.99,9.99,13,0.3155,2.846,0.083,0.041,0.029080231,0.00754978,0.152641448,0.028519407,NA,0.0381,89.76,979856,57796,6842,2186,923,693,172,105,0,0,1,0,0.06448,0.005736,10.98,2.05,379.0418,5450.309,1.76,2882.55,50706.88,1.52,109.69,1102.009,1.8,2.98013245,0.423105224,22.92126564,39.93745401,13.39220015,13.48417954,2.906548933,3.642384106,19,NA,3,0,0
28,1.177,36,8,0.05,0.3,8.3,0.4,19,0.78,0.33,0.06,1.26,4.63,0.052,25.55,0.052,0.0004,4.00E-04,4.67E-02,5.92,6.77,72.02,9.99,17.99,17.7,0.2645,0.519,0.011,0.004,0.036153212,0.004115196,0.038075411,0.005399704,NA,0.0381,92.18,853393,164734,23233,4935,1368,749,112,49,0,0,1,0,0.07455,0.00888,14.19,2.39,1238.32,17546.27,1.61,745.24,13426.74,1.69,107.789,1055.65,1.76,5.692251194,1.964744767,8.630187293,42.78369445,18.23356592,11.95372751,4.645611458,5.435181785,20,NA,3,0,0
29,1.272,84,25,0.11,1.6,51.2,1,49,1.18,0.44,0.07,1.91,8.25,0.174,118.11,0.174,0.0015,0.0015,0.0207,6.01,49.92,68.89,16.59,14.52,17.7,0.2645,2.08,0.059,0.019,0.136643563,0.017844246,0.224711697,0.034323202,NA,0.0381,88.64,843959,166810,27143,6923,2198,1249,194,97,0,0,1,0,0.07787,0.0086,9.86,2.001,239.076,3392.403,1.6585,113.949,1984.055,1.8,43.676,434.9251,1.75,2.3003663,0.761904762,19.92673993,47.66300366,7.853479853,14.4029304,4.791208791,1.934065934,21,NA,3,0,0
30,1.241,121,23,0.14,1,1.8,0.7,36,1.17,1.18,0.06,2.72,12.3,0.069,31.95,0.069,0.0004,4.00E-04,3.00E-03,5.43,8.47,48.07,17.97,33.95,16.7,0.3055,0.747,0.022,0.004,0.056483339,0.010061768,0.043752622,0.003798509,NA,0.0381,88.13,969549,65279,9589,2609,852,563,88,44,0,0,1,0,0.06539,0.003962,13.07,2.52,1116.397,15946.38,1.66,281.677,499.55,1.8,5020.68,49810,1.51,2.4653159,0.838407027,17.82613035,51.1627907,7.815151213,12.0770536,5.160195628,1.746681306,22,NA,3,0,0
31,1.389,238,14,0.25,5.6,62.7,1.3,64,6.43,2.3,0.06,9.4,24.83,0.415,252.91,0.415,0.0028,0.0014,0.0097,5.89,200.02,52.01,29.99,18,16.7,0.3055,4.954,0.14,0.051,0.245637081,0.010782672,0.263653596,0.059007051,NA,0.0381,98.43,820686,55397,6197,1542,486,279,50,21,0,0,1,0,0.0626,0.02468,16.07,2.54,1409.143,20049.46,1.69,1372.39,24280.82,1.66,557.554,5556.14,1.81,1.73564753,0.400534045,32.00631145,41.35210584,5.316179148,13.61815754,4.005340454,1.068090788,23,NA,3,0,0
34,1.095,180,2,0.38,0.2,5.6,1.4,11,10.95,5.54,0.3,17.25,19.27,0.065,36.75,0.065,0.0033,0,0.0281,6.79,26.4,32.05,49.96,17.99,21.6,0.101,0.386,0.026,0.006,0.020978757,0.005958509,0.034025463,0.004408363,NA,0.381,88.27,891123,128203,20343,5621,1874,1172,172,65,0,0,1,0,0.072955,0.006027,9.45,1.82,298.2337,4294.694,1.71,295.4621,5175.064,1.65,62.6664,636.9952,1.73,6.729543717,2.651032373,14.55518736,38.72036707,18.81213357,10.96099924,3.033392812,3.874585776,24,NA,7,0,0
40,1.067,476,0.01,0.87,0.3,1.7,0.3,3,15.81,1.68,0.15,18.86,9.77,0.056,339.79,0.056,0.0003,9.00E-04,1.40E-03,8.87,8.8,35.3,41.8,23,37.1,0.05,1.999,0.031,0.003,0.034207935,0.001583816,0.050453186,0.004201279,NA,0.0381,87.12,986740,57701,3147,603,200,145,26,11,0,0,1,0,0.064723,0.001823,10.14,2.04,435.3957,6262.179,1.67,331.3884,5767.19,1.78,539.812,5442.563,1.64,11.83279743,3.344051447,3.601286174,25.78778135,32.41157556,4.823151125,1.864951768,12.60450161,25,NA,8,0,0
42,1.188,69,14,0.15,0.3,30.9,0.2,14,0.48,0.07,0.08,0.81,16.36,0.069,65.1,0.069,0.0004,1.50E-03,0.0017,4.91,22.1,41.3,33.8,24.9,23.2,0.382,0.655,0.059,0.005,0.125566004,0.010699102,0.09335154,0.012795531,NA,0.0381,67.99,978146,50556,11689,4287,1854,1499,327,214,1,0,1,0,0.065692,0.002884,10.84,2.49,0.376986,5.412132,1.89,31576.82,552273.8,1.56,0.472884,4.7445218,1.84,6.428571429,3.049450549,4.725274725,44.86263736,22.30769231,8.131868132,3.901098901,5.21978022,26,NA,3,0,0
